State.Code,city,state,location
6,martinez,ca,coast
6,sonora,ca,inland
6,sonora,ca,inland
6,valley springs,ca,inland
6,fresno,ca,inland
6,hesperia,ca,inland
6,los angeles,ca,coast
6,los angeles,ca,coast
6,simi valley,ca,coast
6,riverside,ca,inland
6,artesia,ca,coast
6,norwalk,ca,inland
6,pacheco,ca,coast
6,manhattan beach,ca,coast
6,calabasas,ca,coast
6,orange county,ca,coast
6,canyon lake,ca,inland
6,san rafael,ca,coast
6,san diego,ca,coast
6,lancaster,ca,inland
6,san diego,ca,coast
6,rocklin,ca,inland
6,livermore,ca,coast
6,rialto,ca,inland
6,san jose,ca,coast
6,lancaster,ca,inland
6,roseville,ca,inland
6,tehachapi,ca,inland
6,san marcos,ca,coast
6,valencia,ca,inland
6,san diego,ca,coast
6,fullerton,ca,coast
6,modesto,ca,inland
6,watsonville,ca,coast
6,huntington beach,ca,coast
6,oakland,ca,coast
6,mojave (red rock canyon rec.),ca,inland
6,irvine,ca,coast
6,la verne,ca,inland
6,wilmington,ca,coast
6,covina,ca,inland
6,sebastopol,ca,inland
6,lake elsinore,ca,inland
6,santa monica,ca,coast
6,woodland,ca,inland
6,riverside,ca,inland
6,dublin,ca,inland
6,chico,ca,inland
6,fontana,ca,inland
6,arcata,ca,coast
6,los angeles,ca,coast
6,san diego,ca,coast
6,warner springs,ca,inland
6,spring valley,ca,inland
6,san francisco,ca,coast
6,clearlake,ca,inland
6,laguna hills,ca,coast
6,los altos hills,ca,coast
6,san jose,ca,coast
6,yuba city,ca,inland
6,redwood city,ca,coast
6,campbell,ca,inland
6,susanville,ca,inland
6,pacific beach,ca,coast
6,el cajon,ca,inland
6,la mesa,ca,inland
6,san diego,ca,coast
6,spring valley,ca,inland
6,el cajon,ca,inland
6,el cajon,ca,inland
6,san jose,ca,coast
6,laguna hills,ca,coast
6,san jose,ca,coast
6,ukiah,ca,inland
6,placerville,ca,inland
6,sunland,ca,inland
6,escondido,ca,coast
6,san luis obispo,ca,coast
6,san jose,ca,coast
6,bakersfield,ca,inland
6,madera,ca,inland
6,chula vista,ca,coast
6,cabazon,ca,inland
6,quincy,ca,inland
6,cottonwood,ca,inland
6,los angeles (san fernando valley),ca,coast
6,alameda,ca,coast
6,temecula,ca,inland
6,elverta,ca,inland
6,whittier,ca,inland
6,garden grove,ca,coast
6,redlands,ca,inland
6,napa,ca,coast
6,la palma,ca,coast
6,sonora,ca,inland
6,murrieta,ca,coast
6,laguna niguel,ca,coast
6,el cajon,ca,inland
6,orange,ca,coast
6,cotati,ca,coast
6,holtville,ca,inland
6,santa maria,ca,coast
6,port hueneme,ca,coast
6,rialto,ca,inland
6,grover beach,ca,coast
6,mount shasta (near),ca,coast
6,coronado,ca,coast
6,lake elsinore,ca,inland
6,colton,ca,inland
6,pollock pines,ca,inland
6,napa,ca,coast
6,fresno,ca,inland
6,concord,ca,inland
6,riverside,ca,inland
6,san diego,ca,coast
6,mountain view,ca,coast
6,madera,ca,inland
6,long beach,ca,coast
6,escondido,ca,coast
6,sonoma,ca,coast
6,spring valley,ca,inland
6,canoga park,ca,inland
6,silverado,ca,coast
6,los angeles,ca,coast
6,los angeles (50 ne of),ca,coast
6,victorville,ca,inland
6,riverside,ca,inland
6,el cajon,ca,inland
6,los angeles,ca,coast
6,whittier,ca,inland
6,camarillo,ca,coast
6,castro valley,ca,inland
6,oak glen,ca,inland
6,el cajon,ca,inland
6,coto de caza,ca,coast
6,stockton,ca,inland
6,atascadero,ca,coast
6,fresno,ca,inland
6,fairfield,ca,inland
6,danville,ca,inland
6,hacienda heights,ca,inland
6,sacramento,ca,inland
6,sacramento,ca,inland
6,poway,ca,coast
6,california city (east of),ca,inland
6,oroville,ca,inland
6,anaheim hills,ca,inland
6,tustin,ca,coast
6,ramona (ne san diego),ca,inland
6,lake forest,ca,coast
6,san diego,ca,coast
6,clovis,ca,inland
6,san francisco,ca,coast
6,culver city,ca,coast
6,orange,ca,coast
6,alpine,ca,inland
6,burbank,ca,inland
6,laguna niguel,ca,coast
6,agoura hills,ca,coast
6,san diego,ca,coast
6,campo,ca,inland
6,calabasas,ca,coast
6,castro valley,ca,inland
6,lakewood,ca,coast
6,santa monica,ca,coast
6,san jose,ca,coast
6,windsor,ca,coast
6,long beach,ca,coast
6,orland,ca,inland
6,woodland,ca,inland
6,oceanside,ca,coast
6,woodland,ca,inland
6,napa,ca,coast
6,van nuys,ca,coast
6,burbank,ca,inland
6,antioch,ca,inland
6,burbank,ca,inland
6,san diego,ca,coast
6,san diego,ca,coast
6,san diego,ca,coast
6,la jolla,ca,coast
6,san diego,ca,coast
6,san diego,ca,coast
6,san diego,ca,coast
6,poway,ca,coast
6,san onofre,ca,coast
6,lemoore,ca,inland
6,burbank,ca,inland
6,placerville,ca,inland
6,oxnard,ca,coast
6,simi valley,ca,coast
6,los angeles,ca,coast
6,lucerne,ca,inland
6,pollock pines,ca,inland
6,mar vista (west los angeles),ca,coast
6,ontario,ca,inland
6,san jose,ca,coast
6,alameda,ca,coast
6,hesperia,ca,inland
6,arcadia,ca,inland
6,hawthorne,ca,coast
6,hayward,ca,inland
6,fremont,ca,inland
6,norwalk,ca,inland
6,hayward,ca,inland
6,porter ranch,ca,inland
6,studio city,ca,coast
6,huntington beach,ca,coast
6,los angeles,ca,coast
6,truckee (near donner lake),ca,inland
6,clovis,ca,inland
6,clovis,ca,inland
6,klamath,ca,coast
6,santa ana (near),ca,coast
6,san diego,ca,coast
6,santa rosa,ca,inland
6,ventura,ca,coast
6,rancho bernardo,ca,inland
6,fresno,ca,inland
6,willits (west of),ca,coast
6,santa ana,ca,coast
6,ridgecrest,ca,inland
6,pasadena,ca,coast
6,fair oaks,ca,inland
6,oak park,ca,coast
6,los angeles,ca,coast
6,sacramento,ca,inland
6,ridgecrest,ca,inland
6,los angeles,ca,coast
6,petaluma,ca,coast
6,santa monica,ca,coast
6,lemoore,ca,inland
6,stockton,ca,inland
6,huntington beach,ca,coast
6,camarillo,ca,coast
6,kelseyville,ca,inland
6,burbank,ca,inland
6,mission viejo,ca,coast
6,rosemead,ca,inland
6,commerce,ca,coast
6,lodi,ca,inland
6,willow creek,ca,coast
6,carlsbad,ca,coast
6,oakland,ca,coast
6,huntington beach,ca,coast
6,costa mesa,ca,coast
6,costa mesa,ca,coast
6,redding,ca,inland
6,sherman oaks,ca,coast
6,cherry valley,ca,inland
6,san clemente,ca,coast
6,brentwood,ca,inland
6,fortuna,ca,coast
6,sacramento,ca,inland
6,napa,ca,coast
6,sacramento,ca,inland
6,los angeles,ca,coast
6,san diego,ca,coast
6,huntington beach,ca,coast
6,south lake tahoe,ca,inland
6,pico rivera,ca,coast
6,hayward,ca,inland
6,shingle springs,ca,inland
6,chico,ca,inland
6,tulelake,ca,inland
6,fountain valley,ca,coast
6,gaviota,ca,coast
6,tracy,ca,inland
6,huntington beach,ca,coast
6,huntington beach,ca,coast
6,la quinta,ca,inland
6,garden grove,ca,coast
6,garden grove,ca,coast
6,riverside,ca,inland
6,los angeles,ca,coast
6,rancho cucamonga,ca,inland
6,covina,ca,inland
6,davis,ca,inland
6,elk grove,ca,inland
6,san jose,ca,coast
6,corona,ca,inland
8,colorado springs,co,inland
8,boulder,co,inland
8,peyton,co,inland
8,colorado city,co,inland
8,sedalia,co,inland
8,lochbuie,co,inland
8,canon city,co,coast
8,mccoy,co,inland
8,silverthorne,co,inland
8,pueblo west,co,inland
12,boynton beach,fl,coast
12,jacksonville,fl,coast
12,sun city center,fl,coast
12,st. petersburg,fl,coast
12,clermont,fl,inland
12,tallahassee,fl,inland
12,miami,fl,inland
12,tampa,fl,coast
12,lake wales,fl,inland
12,kendall,fl,coast
12,tampa,fl,coast
12,margate,fl,coast
12,fort myers,fl,coast
12,royal palm beach,fl,coast
12,jacksonville,fl,coast
12,punta gorda,fl,coast
12,boynton beach,fl,coast
12,orlando,fl,coast
12,miami,fl,inland
12,orlando,fl,coast
12,largo,fl,coast
12,milton,fl,coast
12,homestead,fl,coast
12,lake mary,fl,inland
17,chicago,il,inland
17,downers grove,il,inland
17,naperville,il,inland
17,woodridge,il,inland
17,rockford,il,inland
17,chicago,il,inland
17,mattoon,il,inland
17,rockford,il,inland
17,schaumburg,il,inland
17,bloomington,il,inland
17,carol stream,il,inland
17,oak forest,il,inland
18,monticello,in,coast
18,elkhart,in,inland
20,great bend,ks,inland
21,louisville,ky,inland
25,amesbury,ma,coast
25,great barrington,ma,inland
26,lupton (near),mi,inland
26,livonia,mi,inland
26,mt. pleasant,mi,coast
29,kansas city,mo,inland
29,columbia,mo,inland
29,salem,mo,inland
29,pineville,mo,inland
29,brinktown,mo,inland
34,teterboro,nj,inland
36,new york city (manhattan),ny,coast
36,malverne,ny,coast
36,norfolk,ny,coast
36,orchard park,ny,coast
36,tonawanda,ny,inland
36,larchmont,ny,coast
36,flushing,ny,coast
36,newburgh,ny,inland
36,utica,ny,inland
36,hudson falls,ny,inland
36,elmira,ny,inland
36,syracuse,ny,inland
36,piermont,ny,inland
36,livonia,ny,inland
36,edwards,ny,inland
36,watertown,ny,inland
36,stony point,ny,inland
36,new york city (brooklyn),ny,coast
36,new york city (staten island),ny,coast
36,new york city (brooklyn),ny,coast
36,lisbon,ny,inland
36,commack,ny,coast
36,canandaigua,ny,inland
36,new york city (brooklyn),ny,coast
36,tupper lake,ny,inland
36,new york city (staten island),ny,coast
36,new york city,ny,coast
36,flushing,ny,coast
36,syracuse,ny,inland
36,syracuse,ny,inland
36,deer park,ny,coast
36,williamsville,ny,inland
36,buffalo,ny,inland
36,new york city (bronx),ny,coast
36,bay shore,ny,coast
36,sherman,ny,inland
36,astoria,ny,coast
36,farmingdale,ny,coast
36,inwood,ny,coast
36,patchogue,ny,coast
36,new york city,ny,coast
36,ravena,ny,inland
36,millerton,ny,coast
36,new york city (manhattan),ny,coast
36,beacon,ny,inland
37,southport,nc,coast
37,greensboro,nc,inland
37,charlotte,nc,inland
41,redmond,or,inland
42,mohnton,pa,inland
42,allison park,pa,inland
42,middletown,pa,inland
42,frazer,pa,inland
42,reading,pa,inland
42,scotland,pa,inland
42,reading,pa,inland
42,lackawaxen,pa,inland
42,titusville,pa,inland
42,warminster,pa,inland
42,phoenixville,pa,inland
42,lancaster,pa,inland
42,camp hill,pa,inland
42,gibsonia,pa,inland
42,lower burrell,pa,inland
42,allentown,pa,inland
42,pittsburgh,pa,inland
42,lackawaxen,pa,inland
42,quakertown,pa,inland
42,sinking spring,pa,inland
42,reading,pa,inland
42,altoona,pa,inland
42,coatesville,pa,inland
42,reading,pa,inland
42,pittsburgh,pa,inland
42,new freedom,pa,inland
42,east stroudsburg,pa,inland
42,plymouth meeting,pa,inland
42,mountville,pa,inland
42,downingtown,pa,inland
42,tipton,pa,inland
42,fairless hills,pa,inland
42,beaver falls,pa,inland
42,gettysburg,pa,inland
45,laurens,sc,inland
45,spartanburg,sc,inland
47,mt. juliet  (near nashville),tn,inland
48,dallas,tx,inland
48,robinson,tx,inland
48,austin,tx,inland
48,richardson,tx,coast
48,austin,tx,inland
48,big lake,tx,inland
48,grand prairie,tx,inland
48,san antonio,tx,inland
48,wichita falls,tx,inland
48,whitesboro,tx,inland
48,san antonio,tx,inland
48,houston,tx,coast
48,bastrop,tx,inland
48,wellington,tx,inland
48,big spring,tx,inland
48,waco,tx,inland
48,palestine,tx,inland
48,san marcos,tx,coast
48,bastrop,tx,inland
48,plano,tx,inland
48,ferris,tx,inland
48,coppell,tx,inland
48,beach city,tx,coast
48,lindale,tx,inland
48,houston,tx,coast
48,montgomery,tx,coast
48,west point,tx,inland
48,natalia,tx,inland
48,ennis,tx,inland
48,san antonio,tx,inland
48,corpus christi,tx,coast
48,austin,tx,inland
48,north richland hills,tx,inland
48,burton,tx,inland
48,arlington,tx,inland
48,alto,tx,inland
48,houston,tx,coast
48,texarkana,tx,inland
48,dallas,tx,inland
48,junction,tx,inland
48,plano,tx,inland
48,fort worth,tx,inland
48,garland,tx,inland
48,san antonio,tx,inland
48,rockwall,tx,inland
48,temple,tx,inland
48,san antonio,tx,inland
48,edinburg,tx,inland
48,azle,tx,inland
48,carrollton,tx,inland
48,conroe,tx,inland
48,plano,tx,inland
48,arlington,tx,inland
48,post,tx,inland
51,roanoke,va,inland
51,fredericksburg,va,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
4,Phoenix,Arizona,inland
